url,Response_time_ms,Load_time_ms,DOM_Content_Loaded_Time_ms,First_byte_TTFB_ms,Total_links,No_of_requests,Byte_in_bytes,Page_size_MB,Largest_contentful_paint_LCP_ms,Cumulative_Layout_Shift_CLS,First_Contentful_Paint_FCP_ms,Time_to_interactive_TTI_ms,Speed_Index_ms,Interaction_to_Next_Paint_INP_ms,Design_optimization_score,JavaScript_Execution_Time_ms,Main_Thread_Work_CPU_ms,CSS_Blocking_Time_ms,Broken_link_count,Start_render_time_ms,Document_complete_time_ms
https://hilti.com,53.0,4764.0,1364.0,26.0,95.0,103.0,1457504.0,1.376,13456.357999999995,0.0,6077.4929999999995,16835.927000000003,7614.274774415206,,28.0,16523.012000000253,7547.334999999999,185.0,4.0,6077.4929999999995,4764.0
https://firstam.com,277.0,4179.0,2249.0,68.0,179.0,80.0,178138.0,0.168,14856.187500000004,0.10932146998245694,9376.7495,26571.53245,9713.021527398036,,23.0,41357.97999999862,10097.08025,3446.0,23.0,9376.7495,4179.0
https://frieslandcampina.com,1790.0,2724.0,2577.0,1766.0,84.0,67.0,1396919.0,1.316,12485.041999999998,1.6917693385552963,4147.097999999999,13075.5376,9664.535773224208,,5.0,9299.159999999933,2259.0000000000027,2044.0,0.0,4147.097999999999,2724.0
https://montefiore.org,62.0,1656.0,1070.0,30.0,2129.0,53.0,501575.0,0.474,,,,,,,,,,,7.0,,1656.0
https://allscripts.com,76.0,1935.0,765.0,11.0,362.0,60.0,903411.0,0.927,18650.1895,0.04756544918506068,5653.102999999999,18706.74895,9347.512171699589,,26.0,20472.86399999995,7492.7455000000045,3133.0,0.0,5653.102999999999,1935.0
https://floridamoves.com,,,,,,,,,,,,,,,,,,,,,
https://netsuite.com,606.0,632.0,632.0,205.0,0.0,1.0,677.0,0.0,18125.314000000002,0.0,4350.9045,18163.263350000005,37209.83699054467,,27.0,15983.523999999667,6033.509999999997,1305.0,0.0,4350.9045,632.0
https://globe.com.ph,28.0,1072.0,916.0,21.0,1.0,8.0,74376.0,0.069,15230.364000000001,0.0,3812.769500000001,41030.02230000001,8705.311289733127,,29.0,34865.88000000111,16743.000000000004,691.0,0.0,3812.769500000001,1072.0
https://auspost.com.au,99.0,3161.0,2127.0,10.0,1321.0,73.0,3430629.0,3.258,,,,,,,,,,,4.0,,3161.0
https://cancer.org,37.0,3035.0,1348.0,3.0,824.0,96.0,2554730.0,2.421,14308.289,0.3552699812120387,11874.752999999999,29857.42965,11874.752999999999,,8.0,27569.952000000234,8640.965999999997,3194.0,3.0,11874.752999999999,3035.0
https://al-futtaim.ae,,,,,,,,,,,,,,,,,,,,,
https://globallogic.com,17.0,324.0,185.0,5.0,0.0,4.0,27104.0,0.025,10556.109099999998,0.0004670687705693553,5907.0996000000005,10680.07732,5907.0996000000005,,40.0,8846.175999999976,878.1166999999987,640.0,0.0,5907.0996000000005,324.0
https://hydroquebec.com,284.0,1604.0,1508.0,81.0,287.0,57.0,887911.0,0.846,7000.943500000001,0.0,2009.6685000000002,10250.035650000003,4197.914154417154,,45.0,8393.631999999978,1817.5000000000018,0.0,,2009.6685000000002,1604.0
https://gulfstream.com,66.0,112.0,112.0,5.0,0.0,1.0,1219.0,0.001,9594.735499999999,0.0,4564.32575,18570.47905,7110.912522993825,,30.0,36084.92799999879,3974.168999999999,1510.0,1.0,4564.32575,112.0
https://hamad.qa,1242.0,13053.0,4688.0,1061.0,194.0,129.0,13333107.0,12.757,66990.57759999998,0.25366988383783956,10100.373199999995,72451.65907000001,18589.31628320336,,14.0,16939.08399999999,2423.623899999997,3010.0,10.0,10100.373199999995,13053.0
