url,Response_time_ms,Load_time_ms,DOM_Content_Loaded_Time_ms,First_byte_TTFB_ms,Total_links,No_of_requests,Byte_in_bytes,Page_size_MB,Broken_link_count,Start_render_time_ms,Document_complete_time_ms,Largest_contentful_paint_LCP_ms,Cumulative_Layout_Shift_CLS,First_Contentful_Paint_FCP_ms,Time_to_interactive_TTI_ms,Speed_Index_ms,Interaction_to_Next_Paint_INP_ms,Design_optimization_score,JavaScript_Execution_Time_ms,Main_Thread_Work_CPU_ms,CSS_Blocking_Time_ms
https://ibm.com,101.0,11227.0,2894.0,55.0,33.0,236.0,3542071.0,3.357,0.0,,11227.0,,,,,,,,,,
https://tcs.com,386.0,2674.0,2069.0,86.0,649.0,157.0,2298242.0,2.167,1.0,9160.829,2674.0,23016.67399999999,0.0,9160.829,25758.483099999994,12884.163688558529,,25.0,30647.604000000207,7394.4245,2916.0
https://accenture.com,79.0,1583.0,1172.0,72.0,179.0,76.0,1459746.0,1.388,4.0,3957.8400000000006,1583.0,12535.403000000002,0.0,3957.8400000000006,24153.470995,9374.419828710119,,29.0,26301.831999999904,10762.068000000003,1035.0
https://goarmy.com,257.0,4315.0,1087.0,29.0,139.0,175.0,3829661.0,3.618,6.0,6084.342000000002,4315.0,12911.496250000004,0.0,6084.342000000002,24534.116475000006,15418.809261415143,,25.0,55015.04799999994,9804.083750000002,1048.0
https://ey.com,46.0,2861.0,1590.0,39.0,510.0,76.0,8340837.0,7.94,0.0,12065.8185,2861.0,46011.07100000001,0.0,12065.8185,47992.81470000002,14018.543213551653,,26.0,12301.599999999853,3065.021499999999,4113.0
https://hpe.com,357.0,2569.0,2560.0,0.0,0.0,0.0,0.0,0.0,,4703.3115,2569.0,11742.9375,0.06794385962223215,4703.3115,28957.371524999988,8137.935189886753,,27.0,29283.300000000087,8132.013249999991,570.0
https://cognizant.com,24.0,904.0,902.0,22.0,835.0,122.0,824604.0,0.76,6.0,2245.501,904.0,5802.001,0.0799995275560326,2245.501,5872.501,2715.4124193890075,,72.0,4016.1359999999872,163.0,353.0
https://walmartcareers.com,383.0,427.0,415.0,0.0,5.0,0.0,0.0,0.0,,,427.0,,,,,,,,,,
https://microsoft.com,143.0,2169.0,1413.0,94.0,154.0,147.0,3668474.0,3.479,0.0,7967.33425,2169.0,18540.207500000004,0.00043291969712500213,7967.33425,36249.152249999985,13834.924458406389,,25.0,19444.904000000013,5403.864999999989,1396.0
https://att.com,1093.0,2827.0,2239.0,837.0,120.0,121.0,1864415.0,1.753,3.0,3927.113,2827.0,6741.977999999999,0.021598634411355098,3927.113,31251.75525500001,8635.46922220488,,31.0,49774.13600000483,14857.652000000011,199.0
https://airforce.com,132.0,3770.0,2041.0,20.0,121.0,91.0,1753355.0,1.658,0.0,8343.406000000003,3770.0,11530.082499999995,0.0,8343.406000000003,25877.1072,15222.510322004166,,25.0,30011.579999999878,12846.077999999992,5610.0
https://pwc.com,85.0,2768.0,1776.0,70.0,511.0,92.0,1991870.0,1.881,0.0,6097.0380000000005,2768.0,12309.452999999998,0.03371024774970251,6097.0380000000005,18000.7788,9114.79432326994,,27.0,20107.056000000026,6132.803000000003,2973.0
https://wellsfargo.com,322.0,2013.0,1228.0,187.0,218.0,116.0,287164.0,0.262,1.0,3444.7717000000002,2013.0,6634.1074100000005,0.00014903533913485735,3444.7717000000002,19181.382984999997,3444.7717000000002,,40.0,9152.863999999907,3192.5548000000017,1292.0
https://infosys.com,272.0,2391.0,2185.0,59.0,304.0,135.0,1598708.0,1.501,14.0,6227.3755,2391.0,14371.75325,2.2178062153243364e-05,6227.3755,26352.653349999993,13150.387300829054,,26.0,22890.295999999875,8086.888500000003,2900.0
https://deloitte.com,322.0,3383.0,2009.0,91.0,400.0,99.0,1225442.0,1.153,0.0,7482.607749999999,3383.0,21034.292950000003,0.0,7482.607749999999,21276.402195000006,11619.779960682747,,26.0,13843.760000000062,3143.000000000002,354.0
https://citigroup.com,249.0,5062.0,1748.0,58.0,96.0,102.0,2712219.0,2.563,30.0,5420.216999999999,5062.0,15238.027499999995,0.01510073398384491,5420.216999999999,18122.588750000003,5907.076561578265,,31.0,11251.171999999802,2997.447000000002,958.0
https://bankofamerica.com,414.0,5508.0,1460.0,119.0,251.0,125.0,6769.0,0.006,,9983.2712,5508.0,16960.10205,0.0007885413761223465,9983.2712,34672.27097500001,12366.567304337383,,25.0,35693.87200000009,10991.56795,601.0
https://jpmorganchase.com,163.0,1599.0,1485.0,52.0,108.0,72.0,4517580.0,4.298,1.0,15245.698499999999,1599.0,27284.2393,0.0,15245.698499999999,27613.41815,15245.698499999999,,27.0,18158.607999999986,2077.2947000000004,10919.0
