url,Response_time_ms,Load_time_ms,DOM_Content_Loaded_Time_ms,First_byte_TTFB_ms,Total_links,No_of_requests,Byte_in_bytes,Page_size_MB,Largest_contentful_paint_LCP_ms,Cumulative_Layout_Shift_CLS,First_Contentful_Paint_FCP_ms,Time_to_interactive_TTI_ms,Speed_Index_ms,Interaction_to_Next_Paint_INP_ms,Design_optimization_score,JavaScript_Execution_Time_ms,Main_Thread_Work_CPU_ms,CSS_Blocking_Time_ms,Broken_link_count,Start_render_time_ms,Document_complete_time_ms
https://valeo.com,720,5807,3241,573,219,47,6985202,6.649,13023.4125,0,2892.139,16836.44325,6578.34666,,34,11831.436,3928.5735,143,0,2892.139,5807
https://eaton.com,226,419,408,0,0,0,0,0,16480.912,0.0634521776,11538.3595,24316.17965,11538.3595,,25,15175.816,5433.5,3489,,11538.3595,419
https://aflac.com,96,6827,1489,25,116,112,1190740,1.114,16833.0927,0,6329.7525,28672.53989,7174.808608,,28,19704.308,8407.2962,2893,6,6329.7525,6827
https://un.org,148,323,322,46,0,1,345,0,11475.624,0,4624.206,11475.624,7659.434581,,52,2562.536,322,2458,12,4624.206,323
https://flex.com,157,1262,683,17,289,69,2000753,1.891,14578.7035,0.01640709316,3483.3115,14753.8939,7510.31936,,31,14718.14,4961.128,851,8,3483.3115,1262
https://standardbank.com,71,4482,3120,46,305,202,3262077,3.344,21123.414,0.01212852248,4970.868,24838.1859,10616.13857,,27,24347.136,8190.5405,1915,0,4970.868,4482
https://subway.com,183,313,311,0,0,0,0,0,9172.621,0.11551255,5489.408,27596.94525,11125.72304,,23,38112.272,13923.7325,1353,,5489.408,313
https://mayoclinic.org,274,4213,2174,32,179,75,1518277,1.527,8824.0507,0.009988868039,2264.36,14828.2185,5969.918288,,37,14031.02,6772.645,0,34,2264.36,4213
https://boozallen.com,101,3773,2434,36,182,113,4401951,4.183,16445.3385,0.05656925955,9798.3365,43611.79645,21615.47314,,25,54006.092,25471.6655,4432,4,9798.3365,3773
https://allianz.com,24,728,541,21,1,6,72649,0.068,11271.8055,0.001098681835,6124.8335,14663.8927,9057.775477,,29,8236.208,1940.6895,2419,0,6124.8335,728
https://telstra.com,219,6056,4032,82,92,101,3894751,3.702,11258.1445,0.247873633,5463.8405,27935.20697,7724.759126,,16,21582.316,7360.9005,1398,0,5463.8405,6056
https://qualcomm.com,119,6504,6493,28,58,182,5356618,5.089,39139.36225,1.882894151,21669.0585,54607.10115,26703.82823,,0,52997.888,18450.1015,893,0,21669.0585,6504
https://johndeere.com,160,2011,1468,147,388,182,2013105,1.889,16629.201,0.7804346835,4434.179,26678.59708,6795.600819,,6,18133.504,6596,1316,2,4434.179,2011
https://aetna.com,307,1657,866,169,157,89,1881686,1.778,12716.2025,0.01329634491,4864.078,20432.62743,8648.000388,,28,17592.288,6197,1988,0,4864.078,1657
https://enterprise.com,110,4401,1258,84,316,237,2360887,2.233,4890.736,0.003065457287,3200.164,36304.0106,10146.05947,,37,40599.316,20846.096,0,0,3200.164,4401
https://bms.com,138,1468,1225,72,199,66,3103321,3.022,19714.25758,0,8228.10197,19895.01355,9318.331962,,32,6449.664,1289,4590,3,8228.10197,1468
https://albertahealthservices.ca,396,1707,1439,94,226,47,1511566,1.436,6027.14754,0.04479879416,3919.84556,11606.516,4137.653648,,44,7221.64,1209,452,1,3919.84556,1707
https://dhs.gov,110,2554,1253,25,143,186,1396512,1.288,10346.044,0.0193335006,3437.39531,21119.76828,7937.414474,,31,20494.012,7968.8275,760,0,3437.39531,2554
https://commbank.com.au,,,,,,,,,16720.5345,0.002122507559,6726.805,16829.88925,9593.034814,,27,8896.764,3153.5,4804,93,6726.805,
https://newyorklife.com,169,446,445,64,0,1,688,0,2858.56725,9.55E-05,2264.463,16550.30835,8469.388441,,55,20670.536,10354.1605,220,1,2264.463,446
https://cibc.com,151,248,246,0,0,0,0,0,11744.798,0.2758983264,4020.291,31618.8431,10249.06048,,14,42898.848,19625.029,1250,4,4020.291,248
https://adidas.com,144,586,584,0,0,0,0,0,10093.209,0.08505467801,6174.8575,39192.2302,14418.83501,,24,48957.76,15575.13275,2104,,6174.8575,586
https://weatherford.com,1282,8409,7290,1096,753,150,3168436,2.992,12869.08325,0.04065798888,5533.088,34074.18174,12083.06275,,26,44158.704,11241.70405,2098,0,5533.088,8409
https://fluor.com,161,881,881,25,58,68,930865,0.874,9921.376,0.008617673243,5354.889,11635.3616,6632.358796,,31,10926.132,2381.764,946,26,5354.889,881
https://pemex.com,929,3840,3181,560,154,152,7649332,7.261,49576.1445,0.8833535844,25029.994,49911.09615,25029.994,,1,28744.104,5978,20186,99,25029.994,3840
https://soprasteria.com,,,,,,,,,,,,,,,,,,,,,
https://hcahealthcare.com,259,3317,1360,119,88,53,1766524,1.679,33426.05,0.0001579606855,12541.561,34847.6011,18472.64948,,30,8549.284,1382.5,5055,15,12541.561,3317
https://bmwgroup.jobs,34,1428,952,25,277,91,17512746,16.679,6558.353,0.108032018,5349.9,12340.481,8302.106789,,27,15489.188,4130.733,3037,,5349.9,1428
https://dupont.com,,,,,,,,,,,,,,,,,,,,,
https://navisysgroup.com,702,11258,8789,293,47,82,12976230,12.352,11391.87378,0.002044352197,7762.57164,15174.34115,16902.599,,25,23489.64,5084.15979,3749,17,7762.57164,11258
https://searsholdings.com,196,232,220,0,5,0,0,0,,,,,,,,,,,,,232
https://clevelandclinic.org,100,4483,1156,59,144,55,991981,0.935,10310.3215,0.5610040527,5957.525,13596.81563,6754.284207,,7,13485.62,3722.56525,1664,58,5957.525,4483
https://lafargeholcim.com,448,2214,2155,100,353,57,1652556,1.563,6287.04,0,3997.919,10853.9134,5280.431581,,41,13187.976,1288.99,1251,0,3997.919,2214
https://kohls.com,357,2409,1564,32,700,286,3713631,3.695,,,,,,,,,,,92,,2409
https://humana.com,,,,,,,,,,,,,,,,,,,,,
https://primerica.com,162,1476,804,56,89,66,1945953,1.842,10286.1915,0.2275171113,4218.7645,15493.27275,5923.099688,,22,12197.688,2334,1442,4,4218.7645,1476
https://axisbank.com,1541,3782,1761,25,529,125,1196095,1.18,7058.34175,0.0682066756,2366.019881,10888.6683,5608.640328,,38,12572.308,4060,126,5,2366.019881,3782
https://coldwellbanker.com,105,465,464,14,0,1,1219,0.001,10900.468,0.001456601075,3493.264,16740.56415,6376.227097,,33,30959.488,4487.5235,0,4,3493.264,465
https://bayer.com,393,731,728,276,0,1,4603,0.004,13978.24,0.07483512444,9581.65,91561.575,29118.54277,,24,114033.212,78840.325,5638,0,9581.65,731
https://fujitsu.com,186,2409,2202,43,78,101,2014922,1.905,7128.3005,0.07533414338,5480.084,22292.4609,6347.326304,,30,13199.792,4088.776,783,0,5480.084,2409
https://faa.gov,135,295,294,20,0,1,680,0,11943.6055,0.05062531078,6795.0245,16324.84367,6795.0245,,28,13360.384,4892.17225,3630,2,6795.0245,295
https://bbva.com,303,2660,1154,289,332,70,839896,0.785,7968.711,0.03159964177,3736.211,8308.211,4571.559554,,40,5451.744,1543,1662,3,3736.211,2660
https://umich.edu,24,321,167,20,1,6,63128,0.061,10055.36,0.299848375,3289.8895,10101.4584,4136.036682,,44,2845.796,342,1693,0,3289.8895,321
https://bb.com.br,284,401,401,85,4,3,300,0,,,,,,,,,,,3,,401
